date,weather,weather_avccuracy,weather_kinshitu,rain,rain_non,rain_accuracy,rain_kinshitu,sun,sun_non,sun_accuracy,sun_kinshitu
2019/5/24,晴,8,1,0,1,8,1,13.2,0,8,1
2019/5/25,晴,8,1,0,1,8,1,13.5,0,8,1
2019/5/26,晴一時曇,8,1,0,1,8,1,11.3,0,8,1
2019/5/27,晴,8,1,0,1,8,1,12.2,0,8,1
2019/5/28,雨時々曇,8,1,3.5,0,8,1,0.2,0,8,1
2019/5/29,曇一時雨,8,1,11.0,0,8,1,3.6,0,8,1
2019/5/30,晴,8,1,0.0,0,8,1,13.0,0,8,1
2019/5/31,曇後一時雨,8,1,0.0,0,8,1,0.9,0,8,1
2019/6/1,曇一時雨後晴,8,1,0.0,0,8,1,7.3,0,8,1
2019/6/2,曇,8,1,0.0,0,8,1,1.2,0,8,1
2019/6/3,曇時々晴一時雨,8,1,0.0,0,8,1,6.7,0,8,1
2019/6/4,晴後曇,8,1,0,1,8,1,9.3,0,8,1
2019/6/5,曇後一時晴,8,1,0,1,8,1,3.3,0,8,1
2019/6/6,晴,8,1,0,1,8,1,11.2,0,8,1
2019/6/7,雨時々曇,8,1,22.0,0,8,1,0.0,0,8,1
2019/6/8,雨後曇一時晴,8,1,1.5,0,8,1,1.9,0,8,1
2019/6/9,曇時々雨,8,1,11.5,0,8,1,0.0,0,8,1
2019/6/10,大雨、雷を伴う,8,1,92.5,0,8,1,0.0,0,8,1
2019/6/11,晴後曇一時雨,8,1,2.0,0,8,1,4.2,0,8,1
2019/6/12,曇後一時晴一時雨,8,1,3.5,0,8,1,1.6,0,8,1
2019/6/13,晴,8,1,0,1,8,1,13.7,0,8,1
2019/6/14,晴後曇一時雨,8,1,0.0,0,8,1,8.5,0,8,1
2019/6/15,大雨,8,1,46.5,0,8,1,0.0,0,8,1
2019/6/16,晴,8,1,7.5,0,8,1,13.3,0,8,1
2019/6/17,晴時々曇,8,1,0,1,8,1,10.7,0,8,1
2019/6/18,晴後曇,8,1,0,1,8,1,8.5,0,8,1
